generation,best_fitness,avg_fitness
417,0.83,0.8299999999999998
418,0.83,0.8299999999999998
419,0.83,0.8299999999999998
420,0.83,0.8265573770491801
421,0.83,0.8299999999999998
422,0.83,0.8299999999999998
423,0.83,0.8208333333333331
424,0.83,0.8299999999999998
425,0.83,0.8265573770491801
426,0.83,0.8299999999999998
427,0.83,0.8299999999999998
428,0.83,0.8299999999999998
429,0.83,0.8299999999999998
430,0.83,0.8245901639344261
431,0.83,0.8221666666666664
432,0.83,0.8299999999999998
433,0.83,0.8299999999999998
434,0.83,0.8231666666666665
435,0.83,0.8232786885245901
436,0.83,0.8299999999999998
437,0.83,0.8213333333333331
438,0.83,0.8299999999999998
439,0.83,0.8299999999999998
440,0.83,0.8299999999999998
441,0.83,0.8299999999999998
442,0.83,0.8299999999999998
443,0.83,0.8299999999999998
444,0.83,0.8299999999999998
445,0.83,0.8245901639344261
446,0.83,0.8299999999999998
447,0.83,0.8299999999999998
448,0.83,0.8299999999999998
449,0.83,0.8299999999999998
450,0.83,0.82327868852459
451,0.83,0.8299999999999998
452,0.83,0.8299999999999998
453,0.83,0.8299999999999998
454,0.83,0.8299999999999998
455,0.83,0.8299999999999998
456,0.83,0.8299999999999998
457,0.83,0.8299999999999998
458,0.83,0.8299999999999998
459,0.83,0.8299999999999998
460,0.83,0.8265573770491801
461,0.83,0.8299999999999998
462,0.83,0.8299999999999998
463,0.83,0.8299999999999998
464,0.83,0.8299999999999998
465,0.83,0.8299999999999998
466,0.83,0.820333333333333
467,0.83,0.8299999999999998
468,0.83,0.8299999999999998
469,0.83,0.8299999999999998
470,0.83,0.8265573770491801
471,0.83,0.8299999999999998
472,0.83,0.8299999999999998
473,0.83,0.8299999999999998
474,0.83,0.8299999999999998
475,0.83,0.8245901639344261
476,0.83,0.820333333333333
477,0.83,0.8299999999999998
478,0.83,0.8299999999999998
479,0.83,0.8299999999999998
480,0.83,0.8299999999999998
481,0.83,0.8299999999999998
482,0.83,0.8299999999999998
483,0.83,0.8299999999999998
484,0.83,0.8208333333333331
485,0.83,0.8295081967213113
486,0.83,0.8299999999999998
487,0.83,0.8299999999999998
488,0.83,0.8221666666666665
489,0.83,0.8244999999999998
490,0.83,0.8265573770491801
491,0.83,0.8299999999999998
492,0.83,0.8299999999999998
493,0.83,0.8299999999999998
494,0.83,0.8299999999999998
495,0.83,0.8295081967213113
496,0.83,0.8299999999999998
497,0.83,0.8299999999999998
498,0.83,0.8299999999999998
499,0.83,0.8299999999999998
500,0.83,0.8299999999999998
